h,Tao,Region,B_de_reglas,M_de_inf,U_de_acept,F_de_acept,x1,x2,x3,x4,x5,x6,x7,Fobj
0.5,0,3,B1,L,U,Li,0.665579492,4.897485286,0.911582035,0.344839636,0.590297273,0.149483674,4.903295618,0.746133001
0.5,0,3,B1,M,U,Li,0.651330661,4.862444024,0.995985753,0.36986362,0.601000277,0.229297322,4.975487165,0.750460502
0.5,0,3,B1,L,A,Cu,1.39183644,0.804607098,0.576202076,0.755814237,0.542990839,0.997366557,4.993516008,0.748380483
0.5,0,3,B1,M,A,Cu,1.426972223,0.803519327,0.553280173,0.739336997,0.563417641,1.034024006,4.949754547,0.747946428
0.5,0,3,B1,L,U,Cu,0.846925742,0.863761064,0.608231296,0.516428242,0.450909799,0.504107331,4.199825576,0.75236925
0.5,0,3,B1,M,U,Cu,0.846484532,0.91765459,0.608652241,0.524351,0.492627968,0.603620722,4.551162114,0.754566607
0.5,0,3,B1,L,A,Ex,1.530267576,1.156069092,0.804879347,0.914727493,0.557695139,1.215476263,4.852965731,0.74995278
0.5,0,3,B1,M,A,Ex,1.473711355,1.11821207,0.768519139,0.820229269,0.566007302,1.100306067,4.782678381,0.750437358
0.5,0,3,B1,L,U,Ex,0.878097642,1.002974656,0.674831111,0.530621671,0.485571504,0.514147135,4.703620031,0.754422552
0.5,0,3,B1,M,U,Ex,0.869689652,0.835119341,0.498049913,0.473900214,0.482653621,0.458188226,4.6713893,0.755301744
0.5,0,3,B1,L,A,Lo,1.148726227,4.978237904,1.347674183,0.625324843,0.575760044,0.433505338,3.753461099,0.75618181
0.5,0,3,B1,M,A,Lo,0.784215909,4.340910927,0.994599797,0.462816319,0.556583992,0.307564144,2.624524875,0.755345148
0.5,0,3,B1,L,U,Lo,0.718362038,4.998494997,1.054324608,0.465747959,0.625853587,0.240752226,3.964410275,0.75640966
0.5,0,3,B1,M,U,Lo,0.729527753,4.999031115,1.042959197,0.460967346,0.618957304,0.263086643,3.660652685,0.757584082
0.5,0,3,B2,L,A,Li,1.615193672,0.542883816,4.999767057,4.596199558,0.719936651,0.064389242,4.739832207,1.138398356
0.5,0,3,B2,M,A,Li,1.6943625,0.570924113,4.999342407,4.999999997,0.818292437,0.024844442,4.790015636,1.139370332
0.5,0,3,B2,L,U,Li,1.283436008,0.539927864,2.286532213,4.999998777,2.083136294,0.041463088,4.443138066,1.310617216
0.5,0,3,B2,M,U,Li,1.370402583,0.558111857,0.869125069,4.999998858,2.327964691,0.02439117,4.540153649,1.308850659
0.5,0,3,B2,L,A,Cu,2.287364323,0.602414463,4.99957018,4.999999784,2.65661615,0.39963665,4.851544069,1.104846316
0.5,0,3,B2,M,A,Cu,1.614675341,0.349515836,4.994651109,4.999999975,1.85288885,0.22760839,4.101662012,1.105476414
0.5,0,3,B2,L,U,Cu,1.704333283,0.633216958,4.999999551,4.999999223,4.76134906,0.000209056,4.838196068,1.155882061
0.5,0,3,B2,M,U,Cu,1.618181198,0.601186386,4.999997225,4.999999946,4.587409756,0.000438962,4.53886081,1.15582733
0.5,0,3,B2,L,A,Ex,2.05695859,0.389037241,4.999964134,4.999999361,4.307243869,0.143204356,4.52445166,1.096458699
0.5,0,3,B2,M,A,Ex,1.428836688,0.212051118,4.999810841,5,1.981511103,0.105319438,4.780824411,1.096837706
0.5,0,3,B2,L,U,Ex,1.169172043,0.335258305,4.999809515,4.999985097,4.310136064,0.023254109,4.913071687,1.106955397
0.5,0,3,B2,M,U,Ex,1.149160327,0.32846343,4.998391013,4.999999819,4.347307109,0.02224653,4.712823747,1.106242389
0.5,0,3,B2,L,A,Lo,0.723449881,1.432475791,4.984925936,3.243217634,1.257452575,4.635149478,1.409236995,1.258626334
0.5,0,3,B2,M,A,Lo,0.251418685,0.535508764,4.983591185,4.999999934,1.717093105,1.453739613,0.443357255,1.263300205
0.5,0,3,B2,L,U,Lo,0.411731555,0.876687442,4.660271226,4.999998421,1.911382084,4.322603104,0.252314066,1.306243133
0.5,0,3,B2,M,U,Lo,0.435338433,0.838773509,4.991848223,4.999997598,1.857875737,4.265778187,0.38732018,1.308611191
0.5,0,4,B1,L,A,Li,1.899239053,1.640555008,1.237383961,1.042668721,0.439886965,0.177219621,4.671410968,0.605935548
0.5,0,4,B1,M,A,Li,1.802367731,1.492659419,1.114129805,1.040251404,0.493682618,0.605188559,4.466028032,0.601538936
0.5,0,4,B1,L,U,Li,1.400331689,1.674882876,1.260207668,0.885300869,0.50481699,0.351723334,4.981401138,0.607005404
0.5,0,4,B1,M,U,Li,1.29858341,1.603458669,1.179372354,0.775668935,0.491917919,0.09159585,4.496828651,0.604682884
0.5,0,4,B1,L,A,Cu,1.747528448,1.264786234,0.957200054,1.031595008,0.42990246,1.020575067,4.658898612,0.608264327
0.5,0,4,B1,M,A,Cu,1.867795719,1.51115712,1.158746975,1.096096045,0.406132348,0.95672718,4.967615662,0.605365862
0.5,0,4,B1,L,U,Cu,1.875413448,1.919634861,1.469040112,1.114851875,0.344877131,0.755918609,4.861698088,0.607877277
0.5,0,4,B1,M,U,Cu,1.464350572,1.42968513,1.068086046,0.894747197,0.438262443,0.911819721,4.929076271,0.605891856
0.5,0,4,B1,L,A,Ex,1.713789108,1.472931082,1.159837066,1.001325382,0.378581044,0.611927376,4.759108086,0.608248644
0.5,0,4,B1,M,A,Ex,1.774657368,1.366540286,1.045874123,1.00602571,0.425663664,0.743212365,4.973898744,0.604222983
0.5,0,4,B1,L,U,Ex,1.350579303,1.236648951,0.939259297,0.823654797,0.458643182,0.7006764,4.973823048,0.606600602
0.5,0,4,B1,M,U,Ex,1.354707877,1.389038231,1.043150138,0.8668513,0.451060237,0.768541489,4.737340849,0.605607567
0.5,0,4,B1,L,A,Lo,2.115131358,1.622716924,1.175499092,1.284858546,0.55539697,0.00792498,4.967086451,0.605630386
0.5,0,4,B1,M,A,Lo,1.981805387,1.804185696,1.305853118,1.240976941,0.539823541,0.032431638,4.608998423,0.602570786
0.5,0,4,B1,L,U,Lo,1.01715938,1.259658568,0.905309311,0.720382933,0.586319633,0.066172187,3.750104062,0.616779005
0.5,0,4,B1,M,U,Lo,1.030991966,1.220828928,0.882537512,0.707666822,0.619095768,0.020997326,4.289363187,0.615316814
0.5,0,4,B2,L,A,Li,1.241820068,0.53846538,4.999288798,3.417845299,0.736450451,0.303214147,3.244572007,0.868533735
0.5,0,4,B2,M,A,Li,1.602750866,0.709866373,5,5,0.833911703,0.416319789,3.983731737,0.870508719
0.5,0,4,B2,L,U,Li,1.563044519,0.842919456,4.999999982,4.99999997,2.976166096,0.008349367,3.548607386,0.891621198
0.5,0,4,B2,M,U,Li,1.378245667,0.745029923,4.999999997,4.999999994,2.948147625,0.01602497,2.79542563,0.891849784
0.5,0,4,B2,L,A,Cu,1.967872523,0.836754863,4.999993097,4.999859967,1.275503069,1.194498902,4.579313603,0.863678769
0.5,0,4,B2,M,A,Cu,1.294898658,0.515564229,4.999999995,4.999999999,1.289528053,0.659203036,3.101176768,0.863104147
0.5,0,4,B2,L,U,Cu,1.242994725,0.566325417,4.999991998,4.999953195,2.768148432,0.105178604,3.459291506,0.872096392
0.5,0,4,B2,M,U,Cu,1.137464975,0.534101856,4.999999997,4.999999993,1.967599345,0.221550277,3.946856595,0.872576967
0.5,0,4,B2,L,A,Ex,2.228772265,0.867919773,4.999999664,4.999993433,3.446651764,0.471065596,3.65035009,0.864390425
0.5,0,4,B2,M,A,Ex,0.938795963,0.386261521,5,4.999999999,2.683800296,0.257806663,1.668268254,0.864547532
0.5,0,4,B2,L,U,Ex,1.321888397,0.57627698,4.999999613,4.999999144,3.167265965,0.146968562,4.347393682,0.866742949
0.5,0,4,B2,M,U,Ex,1.350333655,0.625536749,5,4.999999999,3.196156482,0.210769639,4.01924777,0.868876721
0.5,0,4,B2,L,A,Lo,1.261272002,0.668506692,4.999993474,4.952640529,0.442266776,1.096604234,3.242785178,0.88615547
0.5,0,4,B2,M,A,Lo,1.524895047,0.753796908,4.999999998,5,0.486636351,0.128231012,4.015233257,0.878511085
0.5,0,4,B2,L,U,Lo,1.049466163,0.612723393,4.999999929,4.999999962,2.206961069,0.029199948,1.648438475,0.914221097
0.5,0,4,B2,M,U,Lo,1.356726434,0.795391406,4.999999999,4.999999999,1.935069628,0.008263669,3.158832865,0.915094807
0.5,0,5,B1,L,A,Li,2.358205424,0.139632409,0.7470731,4.458349145,0.311754097,2.751750323,1.766096627,0.436615994
0.5,0,5,B1,M,A,Li,2.851234368,1.36159598,1.369654265,3.361695782,0.361978788,0.023092192,4.036345811,0.469825575
0.5,0,5,B1,L,U,Li,3.522615578,1.674337178,1.658737557,4.442709447,0.290399081,0.028249572,3.465387409,0.470000829
0.5,0,5,B1,M,U,Li,2.303281901,0.011468662,1.936667674,2.941322836,0.456798043,1.5259901,3.792887092,0.336417719
0.5,0,5,B1,L,A,Cu,2.812509487,1.107854464,1.244082554,2.697543263,0.386105644,0.057404157,4.862599155,0.46667253
0.5,0,5,B1,M,A,Cu,1.956740834,0.574909566,1.221123026,3.509178722,0.180336524,3.20802336,0.414332936,0.446015
0.5,0,5,B1,L,U,Cu,3.379895039,1.383915258,1.540461095,3.147709908,0.326227679,0.027426141,4.5294563,0.465323156
0.5,0,5,B1,M,U,Cu,2.362846216,0.087669158,1.577417983,3.281553978,0.389263223,2.301195922,3.170417262,0.445724878
0.5,0,5,B1,L,A,Ex,1.824722817,0.21334236,2.015248305,3.440132903,0.185078774,3.522411474,0.951691155,0.430999256
0.5,0,5,B1,M,A,Ex,2.309906851,0.89393451,1.031513472,2.325888121,0.407055194,0.351364447,4.401319473,0.464839041
0.5,0,5,B1,L,U,Ex,2.149540414,0.449338498,1.069421729,4.019348461,0.158427311,4.095648596,0.891367664,0.427665693
0.5,0,5,B1,M,U,Ex,1.860080947,1.143845103,1.480385528,3.586628155,0.095819962,4.493529584,0.64271588,0.457312284
0.5,0,5,B1,L,A,Lo,2.623750654,1.199286824,1.185728409,3.468417434,0.418418021,7.28E-08,3.704962638,0.477045224
0.5,0,5,B1,M,A,Lo,3.306511124,0.140445215,2.00268469,4.706435775,0.341199257,0.376932076,3.937276217,0.437832131
0.5,0,5,B1,L,U,Lo,3.298375116,0.122086683,1.834270759,4.68821022,0.24399205,0.252019011,2.525009973,0.459455726
0.5,0,5,B1,M,U,Lo,2.903024835,0.107099207,1.633115319,3.915427682,0.326070314,0.00383585,3.066071928,0.442253655
0.5,0,5,B2,L,A,Li,3.962041878,0.640604844,0.231059986,4.101008653,3.737724588,3.749035664,2.607234091,0.560847492
0.5,0,5,B2,M,A,Li,4.594981433,0.53783966,0.229462763,3.986536876,4.1533806,2.803329129,2.87257458,0.561673332
0.5,0,5,B2,L,U,Li,1.881696759,0.457576884,4.999999868,4.981269739,2.26001974,0.096941755,4.446476803,0.580125832
